"#","Name","Value","Manufacturer","Quantity","RefDes"
"1","CAP_0603","0.01uF","","1","C1"
"2","CAP_0603","1uF","","1","C2"
"3","CAP_0805","4.7uF","Nichicon","1","C5"
"4","CAP_3.5_8","470uF","","1","C6"
"5","CAP_0603","0.1uF","","1","C7"
"6","CAP_0603","1uF","","1","C8"
"7","CAP_0603","1uF","","1","C9"
"8","CAP_0603","1uF","","1","C10"
"9","CAP_0805","10uF","","1","C11"
"10","CAP_0603","0.01uF","","1","C12"
"11","CAP_0805","10uF","","1","C15"
"12","CAP_1206","0.022uF","","1","C16"
"13","CAP_1206","0.022uF","","1","C17"
"14","CAP_1206","4.7uF","","1","C18"
"15","CAP_1206","4.7uF","","1","C19"
"16","CAP_0805","10uF","","1","C20"
"17","UCD_size6.3x5.8","100uF","Nichicon","1","C21"
"18","PESD5V0S1BA","","NXP-Philips","1","D3"
"19","MBR0520L","MBR0520L","","1","D4"
"20","MBR0520L","MBR0520L","","1","D6"
"21","MBR0520L","MBR0520L","","1","D7"
"22","LED0805","STATUS LED","","1","D8"
"23","LED0805","LOW VOLTAGE LED","","1","D9"
"24","MBR0520L","MBR0520L","","1","D10"
"25","LED0805","TRANSMIT_LED","","1","D11"
"26","LED0805","RECEIVE_LED","","1","D12"
"27","BAR43S","","","1","D13"
"28","BAR43S","","","1","D14"
"29","MF-USMF005","100mA","","1","FU3"
"30","HDR-1x2","Line","","1","J1"
"31","HDR-1x2","ExtPower_In","","1","J3"
"32","HDR-1x2","","","1","J6"
"33","HDR-1x2","","","1","J7"
"34","CTIA Jack 3.5mm","","","1","J8"
"35","MHDR-1x2","Li-Pol","","1","J14"
"36","IRLML6401","","IR","1","Q3"
"37","IRLML2030TRPbF","","IR","1","Q4"
"38","IRLML6401","","IR","1","Q7"
"39","IRLML6401","","IR","1","Q8"
"40","IRLML2030TRPbF","","IR","1","Q9"
"41","IRLML2030TRPbF","","IR","1","Q10"
"42","RES_0603","220k","","1","R1"
"43","3314G-1","20k","Bourns","1","R2"
"44","RES_0603","100","","1","R3"
"45","RES_0603","100","","1","R4"
"46","RES_0603","100k","","1","R6"
"47","RES_0603","0","","1","R9"
"48","RES_0603","0","","1","R10"
"49","RES_0603","100k","","1","R16"
"50","RES_0603","100k","","1","R17"
"51","RES_0603","75k","","1","R18"
"52","RES_0603","20k","","1","R19"
"53","RES_0603","20k","","1","R20"
"54","RES_0603","5.6k","","1","R21"
"55","RES_0603","5.6k","","1","R22"
"56","RES_0603","16k","","1","R23"
"57","RES_0603","51k","","1","R24"
"58","RES_0603","51k","","1","R25"
"59","RES_0603","1k","","1","R26"
"60","RES_0603","1.2k","","1","R27"
"61","3314G-1","20k","Bourns","1","R28"
"62","RES_0603","220k","","1","R33"
"63","RES_0603","510k","","1","R34"
"64","RES_0603","200k","","1","R36"
"65","3314G-1","20k","Bourns","1","R37"
"66","RES_0603","100k","","1","R38"
"67","RES_0603","100","","1","R39"
"68","RES_0603","150","","1","R40"
"69","RES_0603","150","","1","R41"
"70","RES_0603","100","","1","R42"
"71","RES_0603","1K","","1","R45"
"72","RES_0603","150","","1","R46"
"73","RES_0603","1K","","1","R47"
"74","RES_0603","3.6K","","1","R48"
"75","RES_0603","100","","1","R49"
"76","78601/8MC","","Murata","1","T1"
"77","MCP604","","Motorola","1","U2"
"78","MCP1700_TT","","Microchip","1","U3"
"79","SN74LVC1G3157DBVR","","Texas Instruments","1","U5"
"80","MCP602","","Motorola","1","U6"
