"#","Name","Value","Manufacturer","Quantity","RefDes"
"1","CAP_0603","0.01uF","","2","C1, C12"
"2","CAP_0603","1uF","","4","C2, C8, C9, C10"
"3","CAP_0805","4.7uF","Nichicon","1","C5"
"4","CAP_3.5_8","470uF","","1","C6"
"5","CAP_0603","0.1uF","","1","C7"
"6","CAP_0805","10uF","","3","C11, C15, C20"
"7","CAP_1206","0.022uF","","2","C16, C17"
"8","CAP_1206","4.7uF","","2","C18, C19"
"9","UCD_size6.3x5.8","100uF","Nichicon","1","C21"
"10","PESD5V0S1BA","","NXP-Philips","1","D3"
"11","MBR0520L","MBR0520L","","3","D4, D7, D10"
"12","LED0805","STATUS LED","","1","D8"
"13","LED0805","LOW VOLTAGE LED","","1","D9"
"14","LED0805","TRANSMIT_LED","","1","D11"
"15","LED0805","RECEIVE_LED","","1","D12"
"16","BAR43S","","","2","D13, D14"
"17","MF-USMF005","100mA","","1","FU3"
"18","HDR-1x2","Line","","1","J1"
"19","HDR-1x2","ExtPower_In","","1","J3"
"20","HDR-1x2","","","1","J7"
"21","CTIA Jack 3.5mm","","","1","J8"
"22","IRLML6401","","IR","3","Q3, Q7, Q8"
"23","IRLML2030TRPbF","","IR","3","Q4, Q9, Q10"
"24","RES_0603","220k","","2","R1, R33"
"25","3314G-1","20k","Bourns","3","R2, R28, R37"
"26","RES_0603","100","","5","R3, R4, R39, R42, R49"
"27","RES_0603","100k","","4","R6, R16, R17, R38"
"28","RES_0603","0","","2","R9, R10"
"29","RES_0603","75k","","1","R18"
"30","RES_0603","20k","","2","R19, R20"
"31","RES_0603","5.6k","","2","R21, R22"
"32","RES_0603","16k","","1","R23"
"33","RES_0603","51k","","2","R24, R25"
"34","RES_0603","1k","","1","R26"
"35","RES_0603","1.2k","","1","R27"
"36","RES_0603","510k","","1","R34"
"37","RES_0603","200k","","1","R36"
"38","RES_0603","150","","3","R40, R41, R46"
"39","RES_0603","1K","","2","R45, R47"
"40","RES_0603","3.6K","","1","R48"
"41","78601/8MC","","Murata","1","T1"
"42","MCP604","","Motorola","1","U2"
"43","MCP1700_TT","","Microchip","1","U3"
"44","SN74LVC1G3157DBVR","","Texas Instruments","1","U5"
"45","MCP602","","Motorola","1","U6"
